chapter,title,text
intro,The Global Climate,The
intro,A Warming World,"Earth's average temperature has risen over 1.2°C since 1880 — but this warming is not felt equally everywhere. Drag the chart to explore how different regions have changed over time."
intro,,"Some regions are changing at two, three, even four times the global rate. Can you guess which one?"
map,What is the Arctic Ocean?,lets switch the map perspective to the Arctic Ocean and zoom in to explore the unique features of this remote and rapidly changing region.
map,The Arctic Coastline,"One of the largest continuous coastlines in the world, the Arctic coast is shaped by the small inlets and fjords that carve into the land. The coastal zone varies widely and ranges from permafrost tundra along the Russian coast to towering glaciers in Greenland."
map,Shallow Continental Shelf,"The Arctic Ocean consists of a large shallow continental shelf (0-200 m), which covers approximately 50% of its total area. This shelf is critical habitat for Arctic marine life and supports rich biodiversity. Its shallow waters are also where much of the Arctic's algae production occurs, from seaweed to microscopic phytoplankton and microphytobenthos, making it a vital part of the region's ecosystem."
map,The Arctic Seasonal Cycle,"Lets take a closer look at the seasonal cycle of the Arctic ocean, which is one of the most extreme and dynamic on Earth."
seasons,Arctic Winter,"During the Arctic winter, the Arctic Ocean lies beneath a frozen mantle of darkness. For months the sun never rises. Sea ice thickens, biological activity drops to near zero, and the ecosystem enters a state of hibernation — waiting for light to return."
seasons,Early Spring,"As the sun climbs back above the horizon after months of darkness, sea ice begins to thin and crack. The returning sunlight triggers the first bloom of algae in the water column."
seasons,Late Spring,"By late spring, the sea ice is gone in some parts of the coastal area and the ocean is entering a productive phase. The Arctic's unique phytoplankton blooms colors the ocean water and the light green hues can be seen from space as seen in the image below."
seasons,Summer,"The summer is the peak of biological productivity in the Arctic ocean and sea ice is at its minimum extent in mid-September. However, soon sea ice begins to shape the coastal waters again. Lets dive into how the ecosystem response to the changing climate."
svg,Changing Arctic Ecosystem,"The Arctic coastal ecosystem is complex and the changes we are seeing are interconnected. Let's break down some of the key changes happening in the coastal zone."
svg,Declining Sea Ice,"The Arctic minimum sea ice extent has declined ~13% per decade since satellite records began in 1979. The old sea ice has been replaced by thinner, younger ice that forms each autumn and melts again by summer."
svg,Increasing Pan-Arctic Productivity,"As ice retreats, sunlight reaches previously shaded Arctic waters and light is playing a bigger role earlier in the season in the shallow waters. This increases the growth area for algae species in the watercolumn but its difficult to know how it will affect algae species on the Arctic seafloor."
svg,Complex Ecosystem Response,"The retreating sea ice is just one part of a complex web of changes in the Arctic coastal zone and some changes might have opposing effects on the ecosystem. Lets take a closer look at some of the other changes happening in the coastal zone."
svg,Glaciers in Retreat,"Greenland's ice sheet and Arctic glaciers are losing mass at record rates, contributing ~1 mm per year to global sea level rise and reshaping coastal landscapes."
svg,Retreating Ice Fronts,"Each coloured line marks a historic glacier terminus — yellow lines show the oldest recorded positions, red the most recent. Decades of retreat visible in a single view."
svg,Rivers & Freshwater,"Accelerating permafrost thaw drives increased freshwater and nutrient runoff into coastal waters, altering salinity, turbidity, and the Arctic nutrient balance."
svg,Increased Water Turbidity,Permafrost thaw and increased wave action are consuming Arctic coastlines at up to 20 metres per year — threatening communities and releasing stored carbon.
svg,Waves,Increased cloud-cover and waves further complicate and alter the light availability in the water.
svg,How is the Arctic Seafloor Adapting?,"Our research is focusing on how the Arctic seafloor is adapting to this complex web of change in the Arctic ocean. We want to understand how much the microorganisms grow, when they grow, and how the energy they produce moves through the food web around them."
photosynthesis,Arctic Seafloor Photosynthesis,The Arctic seafloor is a dynamic environment where photosynthesis plays a crucial role in supporting marine life.
photosynthesis,Seaweed & Photosynthesis,"Seaweed catches sunlight and uses it like energy. It takes carbon dioxide from the water and turns it into sugar, which helps it grow and stay alive. While it does this, it releases oxygen back into the water. The ocean breathes in carbon dioxide and breathes out oxygen, and seaweed is a big part of that process on the seafloor."
photosynthesis,From Ice to Turbid Waters,"Turbid waters reduce light penetration, which can limit the amount of light reaching the seafloor for photosynthesis. Lets look further into how we can explore the impacts of these changes on the Arctic seafloor ecosystem."
photosynthesis,Eddy Covariance System,"To estimate the impacts of changing ocean conditions on the seafloor, we deploy an eddy covariance system on the seafloor (Karl add more)"
photosynthesis,Measuring Instruments,The sensors measure oxygen concentration flow from the seafloor which allows us to calculate how productive the seafloor is (Karl add more)
photosynthesis,Expanding Benthic Communities,"As sea ice retreats, sunlight reaches the seafloor, promoting the expansion of micro organisms in Arctic waters. Currently large uncertainties exist on how much the seafloor is producing and how much of the Arctic seafloor has potential for algae communities."
photosynthesis,A Changing Cycle,As the Arctic warms — longer ice-free seasons extend the window for photosynthesis — but also alter nutrient cycles and ocean chemistry.
photosynthesis,A New Presence,"For the first time in history, industrial vessels navigate waters that were impassable just decades ago. The Arctic is no longer beyond reach."
shipping,The Opening Arctic,"As sea ice retreats, Arctic shipping routes are becoming viable year-round for the first time in human history — cutting thousands of kilometres off global trade routes."
shipping,The Transpolar Route,The Transpolar Sea Route crosses directly over the North Pole. Once science fiction it could become the dominant trade corridor of the 21st century.
shipping,A Changed World,"The same ice loss that is devastating Arctic ecosystems is opening the region to extraction, shipping, and military competition. The Arctic's future will be defined by the choices we make today."
